"";"date";"Year";"WeekNo";"total_covid_death";"male_covid_death";"female_covid_death";"NC_covid_death";"country";"Type"
"286";"2020-04-12";"2020";"15";"166";"79";"87";"0";"Germany";"Gender"
"287";"2020-04-29";"2020";"18";"59";"31";"28";"0";"Germany";"Gender"
"288";"2020-05-04";"2020";"19";"41";"23";"18";"0";"Germany";"Gender"
"289";"2020-05-20";"2020";"21";"23";"13";"10";"0";"Germany";"Gender"
"290";"2020-09-12";"2020";"37";"8";"5";"3";"0";"Germany";"Gender"
"291";"2020-10-08";"2020";"41";"41";"19";"22";"0";"Germany";"Gender"
"292";"2021-03-21";"2021";"11";"101";"65";"36";"0";"Germany";"Gender"
"293";"2021-03-22";"2021";"12";"156";"96";"60";"0";"Germany";"Gender"
"294";"2021-04-12";"2021";"15";"180";"107";"72";"1";"Germany";"Gender"
"295";"2021-05-18";"2021";"20";"26";"10";"16";"0";"Germany";"Gender"
"296";"2021-05-25";"2021";"21";"6";"4";"2";"0";"Germany";"Gender"
"297";"2020-05-14";"2020";"20";"20";"9";"11";"0";"Germany";"Gender"
"298";"2020-08-10";"2020";"33";"2";"1";"1";"0";"Germany";"Gender"
"299";"2020-09-04";"2020";"36";"7";"5";"2";"0";"Germany";"Gender"
"300";"2020-09-28";"2020";"40";"19";"10";"9";"0";"Germany";"Gender"
"301";"2020-10-06";"2020";"41";"27";"17";"10";"0";"Germany";"Gender"
"302";"2020-11-29";"2020";"48";"323";"163";"160";"0";"Germany";"Gender"
"303";"2020-03-13";"2020";"11";"16";"10";"6";"0";"Germany";"Gender"
"304";"2020-07-05";"2020";"27";"4";"1";"3";"0";"Germany";"Gender"
"305";"2020-07-21";"2020";"30";"4";"4";"0";"0";"Germany";"Gender"
"306";"2021-05-05";"2021";"18";"117";"69";"46";"2";"Germany";"Gender"
"307";"2020-05-16";"2020";"20";"20";"6";"14";"0";"Germany";"Gender"
"308";"2020-08-15";"2020";"33";"4";"0";"4";"0";"Germany";"Gender"
"309";"2021-05-02";"2021";"17";"62";"42";"20";"0";"Germany";"Gender"
"310";"2020-08-26";"2020";"35";"2";"2";"0";"0";"Germany";"Gender"
"311";"2020-06-15";"2020";"25";"4";"0";"4";"0";"Germany";"Gender"
"312";"2020-05-13";"2020";"20";"27";"13";"14";"0";"Germany";"Gender"
"313";"2021-05-11";"2021";"19";"65";"36";"29";"0";"Germany";"Gender"
"314";"2021-04-25";"2021";"16";"72";"35";"37";"0";"Germany";"Gender"
"315";"2020-08-17";"2020";"34";"8";"6";"2";"0";"Germany";"Gender"
"316";"2020-09-15";"2020";"38";"15";"8";"7";"0";"Germany";"Gender"
"317";"2020-05-12";"2020";"20";"32";"17";"15";"0";"Germany";"Gender"
"318";"2020-05-15";"2020";"20";"32";"18";"14";"0";"Germany";"Gender"
"319";"2020-06-26";"2020";"26";"6";"3";"3";"0";"Germany";"Gender"
"320";"2020-07-31";"2020";"31";"10";"7";"3";"0";"Germany";"Gender"
"321";"2020-05-28";"2020";"22";"9";"5";"4";"0";"Germany";"Gender"
"322";"2020-09-16";"2020";"38";"15";"11";"4";"0";"Germany";"Gender"
"323";"2020-09-20";"2020";"38";"10";"7";"3";"0";"Germany";"Gender"
"324";"2020-06-29";"2020";"27";"4";"2";"2";"0";"Germany";"Gender"
"325";"2021-05-08";"2021";"18";"43";"23";"20";"0";"Germany";"Gender"
"326";"2020-09-29";"2020";"40";"15";"13";"2";"0";"Germany";"Gender"
"327";"2020-06-17";"2020";"25";"7";"3";"4";"0";"Germany";"Gender"
"328";"2020-06-03";"2020";"23";"11";"5";"6";"0";"Germany";"Gender"
"329";"2020-09-09";"2020";"37";"9";"6";"3";"0";"Germany";"Gender"
"330";"2020-09-11";"2020";"37";"12";"7";"5";"0";"Germany";"Gender"
"331";"2021-05-15";"2021";"19";"28";"19";"9";"0";"Germany";"Gender"
"332";"2020-05-09";"2020";"19";"23";"17";"6";"0";"Germany";"Gender"
"333";"2020-05-23";"2020";"21";"11";"4";"7";"0";"Germany";"Gender"
"334";"2020-05-31";"2020";"22";"3";"2";"1";"0";"Germany";"Gender"
"335";"2020-09-06";"2020";"36";"4";"1";"3";"0";"Germany";"Gender"
"336";"2020-10-11";"2020";"41";"24";"12";"12";"0";"Germany";"Gender"
"337";"2021-05-20";"2021";"20";"6";"4";"2";"0";"Germany";"Gender"
"338";"2020-06-02";"2020";"23";"8";"3";"5";"0";"Germany";"Gender"
"339";"2020-06-18";"2020";"25";"3";"0";"3";"0";"Germany";"Gender"
"340";"2020-06-23";"2020";"26";"7";"5";"2";"0";"Germany";"Gender"
"341";"2020-09-08";"2020";"37";"18";"11";"7";"0";"Germany";"Gender"
"342";"2020-05-18";"2020";"21";"23";"9";"14";"0";"Germany";"Gender"
"343";"2020-08-07";"2020";"32";"5";"3";"2";"0";"Germany";"Gender"
"344";"2020-08-27";"2020";"35";"1";"1";"0";"0";"Germany";"Gender"
"345";"2020-10-05";"2020";"41";"35";"19";"16";"0";"Germany";"Gender"
"346";"2020-07-06";"2020";"28";"6";"2";"4";"0";"Germany";"Gender"
"347";"2021-05-10";"2021";"19";"47";"25";"21";"1";"Germany";"Gender"
"348";"2020-07-16";"2020";"29";"7";"6";"1";"0";"Germany";"Gender"
"349";"2020-07-30";"2020";"31";"5";"4";"1";"0";"Germany";"Gender"
"350";"2020-09-22";"2020";"39";"15";"12";"3";"0";"Germany";"Gender"
"351";"2020-05-25";"2020";"22";"13";"5";"8";"0";"Germany";"Gender"
"352";"2020-07-04";"2020";"27";"2";"1";"1";"0";"Germany";"Gender"
"353";"2020-05-26";"2020";"22";"15";"11";"4";"0";"Germany";"Gender"
"354";"2020-05-30";"2020";"22";"4";"1";"3";"0";"Germany";"Gender"
"355";"2020-10-10";"2020";"41";"38";"23";"15";"0";"Germany";"Gender"
