"";"region";"AgeGrp_min";"AgeGrp_max";"NUTS";"date";"Year";"WeekNo";"male_covid_death";"female_covid_death";"NC_covid_death";"total_covid_death";"country";"type"
"51";"Schleswig-Holstein";"80";NA;"Germany";"2021/01/15";"2021";"02";8;5;0;13;"Germany";"AgeGender"
"52";"Schleswig-Holstein";"35";"59";"Germany";"2021/01/15";"2021";"02";0;0;0;0;"Germany";"AgeGender"
"53";"Schleswig-Holstein";"15";"34";"Germany";"2021/01/15";"2021";"02";0;0;0;0;"Germany";"AgeGender"
"54";"Schleswig-Holstein";"5";"14";"Germany";"2021/01/15";"2021";"02";0;0;0;0;"Germany";"AgeGender"
"55";"Schleswig-Holstein";NA;NA;"Germany";"2021/01/15";"2021";"02";0;0;0;0;"Germany";"AgeGender"
"56";"Schleswig-Holstein";"0";"4";"Germany";"2021/01/15";"2021";"02";0;0;0;0;"Germany";"AgeGender"
"57";"Schleswig-Holstein";"60";"79";"Germany";"2021/01/20";"2021";"03";1;2;0;3;"Germany";"AgeGender"
"58";"Schleswig-Holstein";"80";NA;"Germany";"2021/01/20";"2021";"03";5;8;0;13;"Germany";"AgeGender"
"59";"Schleswig-Holstein";"35";"59";"Germany";"2021/01/20";"2021";"03";0;0;0;0;"Germany";"AgeGender"
"60";"Schleswig-Holstein";"15";"34";"Germany";"2021/01/20";"2021";"03";0;0;0;0;"Germany";"AgeGender"
"61";"Schleswig-Holstein";"5";"14";"Germany";"2021/01/20";"2021";"03";0;0;0;0;"Germany";"AgeGender"
"62";"Schleswig-Holstein";NA;NA;"Germany";"2021/01/20";"2021";"03";0;0;0;0;"Germany";"AgeGender"
"63";"Schleswig-Holstein";"0";"4";"Germany";"2021/01/20";"2021";"03";0;0;0;0;"Germany";"AgeGender"
"64";"Schleswig-Holstein";"60";"79";"Germany";"2021/02/02";"2021";"05";0;0;0;0;"Germany";"AgeGender"
"65";"Schleswig-Holstein";"80";NA;"Germany";"2021/02/02";"2021";"05";4;7;0;11;"Germany";"AgeGender"
