"";"date";"Year";"WeekNo";"total_covid_death";"male_covid_death";"female_covid_death";"NC_covid_death";"country";"Type"
"64";"2021-01-22";"2021";"03";"43";"21";"22";"0";"Switzerland";"Gender"
"65";"2020-11-27";"2020";"48";"88";"50";"38";"0";"Switzerland";"Gender"
"66";"2020-12-13";"2020";"50";"85";"49";"36";"0";"Switzerland";"Gender"
"67";"2020-11-17";"2020";"47";"88";"50";"38";"0";"Switzerland";"Gender"
"68";"2021-01-31";"2021";"04";"27";"15";"12";"0";"Switzerland";"Gender"
"69";"2020-11-07";"2020";"45";"69";"41";"28";"0";"Switzerland";"Gender"
"70";"2020-11-01";"2020";"44";"59";"34";"25";"0";"Switzerland";"Gender"
"71";"2020-10-30";"2020";"44";"42";"23";"19";"0";"Switzerland";"Gender"
"72";"2020-03-19";"2020";"12";"14";"9";"5";"0";"Switzerland";"Gender"
"73";"2021-01-16";"2021";"02";"49";"30";"19";"0";"Switzerland";"Gender"
"74";"2021-01-07";"2021";"01";"63";"33";"30";"0";"Switzerland";"Gender"
"75";"2020-10-29";"2020";"44";"58";"34";"24";"0";"Switzerland";"Gender"
"76";"2021-01-03";"2021";"53";"66";"40";"26";"0";"Switzerland";"Gender"
"77";"2020-11-24";"2020";"48";"90";"47";"43";"0";"Switzerland";"Gender"
"78";"2020-12-28";"2020";"53";"78";"37";"41";"0";"Switzerland";"Gender"
"79";"2020-04-22";"2020";"17";"27";"12";"15";"0";"Switzerland";"Gender"
"80";"2020-07-27";"2020";"31";"1";"1";"0";"0";"Switzerland";"Gender"
"81";"2021-02-06";"2021";"05";"25";"13";"12";"0";"Switzerland";"Gender"
"82";"2020-04-07";"2020";"15";"57";"34";"23";"0";"Switzerland";"Gender"
"83";"2020-11-13";"2020";"46";"86";"35";"51";"0";"Switzerland";"Gender"
"84";"2021-02-18";"2021";"07";"10";"2";"8";"0";"Switzerland";"Gender"
"85";"2020-04-24";"2020";"17";"27";"13";"14";"0";"Switzerland";"Gender"
"86";"2020-05-10";"2020";"19";"7";"4";"3";"0";"Switzerland";"Gender"
"87";"2021-01-30";"2021";"04";"27";"10";"17";"0";"Switzerland";"Gender"
"88";"2021-02-26";"2021";"08";"7";"4";"3";"0";"Switzerland";"Gender"
"89";"2020-11-03";"2020";"45";"79";"43";"36";"0";"Switzerland";"Gender"
"90";"2020-03-17";"2020";"12";"12";"7";"5";"0";"Switzerland";"Gender"
"91";"2020-04-26";"2020";"17";"13";"4";"9";"0";"Switzerland";"Gender"
"92";"2020-12-22";"2020";"52";"83";"43";"40";"0";"Switzerland";"Gender"
"93";"2021-02-14";"2021";"06";"22";"13";"9";"0";"Switzerland";"Gender"
"94";"2020-11-14";"2020";"46";"77";"38";"39";"0";"Switzerland";"Gender"
"95";"2020-04-13";"2020";"16";"36";"17";"19";"0";"Switzerland";"Gender"
"96";"2020-12-19";"2020";"51";"80";"45";"35";"0";"Switzerland";"Gender"
"97";"2020-12-05";"2020";"49";"97";"49";"48";"0";"Switzerland";"Gender"
"98";"2021-01-13";"2021";"02";"57";"28";"29";"0";"Switzerland";"Gender"
"99";"2020-10-27";"2020";"44";"39";"20";"19";"0";"Switzerland";"Gender"
"100";"2020-04-14";"2020";"16";"37";"22";"15";"0";"Switzerland";"Gender"
"101";"2020-11-30";"2020";"49";"93";"41";"52";"0";"Switzerland";"Gender"
"102";"2020-12-15";"2020";"51";"90";"37";"53";"0";"Switzerland";"Gender"
"103";"2020-12-16";"2020";"51";"91";"48";"43";"0";"Switzerland";"Gender"
"104";"2021-01-15";"2021";"02";"61";"38";"23";"0";"Switzerland";"Gender"
"105";"2020-12-23";"2020";"52";"82";"40";"42";"0";"Switzerland";"Gender"
"106";"2020-03-21";"2020";"12";"19";"12";"7";"0";"Switzerland";"Gender"
"107";"2021-02-11";"2021";"06";"14";"7";"7";"0";"Switzerland";"Gender"
"108";"2020-10-04";"2020";"40";"1";"1";"0";"0";"Switzerland";"Gender"
"109";"2020-10-25";"2020";"43";"21";"8";"13";"0";"Switzerland";"Gender"
"110";"2020-09-24";"2020";"39";"4";"3";"1";"0";"Switzerland";"Gender"
"111";"2020-12-02";"2020";"49";"90";"39";"51";"0";"Switzerland";"Gender"
"112";"2020-03-28";"2020";"13";"57";"38";"19";"0";"Switzerland";"Gender"
"113";"2020-05-01";"2020";"18";"12";"7";"5";"0";"Switzerland";"Gender"
"114";"2021-01-28";"2021";"04";"37";"20";"17";"0";"Switzerland";"Gender"
"115";"2020-04-15";"2020";"16";"38";"25";"13";"0";"Switzerland";"Gender"
"116";"2020-04-16";"2020";"16";"38";"20";"18";"0";"Switzerland";"Gender"
"117";"2020-11-04";"2020";"45";"82";"52";"30";"0";"Switzerland";"Gender"
"118";"2020-03-30";"2020";"14";"58";"41";"17";"0";"Switzerland";"Gender"
"119";"2020-12-17";"2020";"51";"89";"42";"47";"0";"Switzerland";"Gender"
"120";"2021-01-10";"2021";"01";"57";"27";"30";"0";"Switzerland";"Gender"
"121";"2020-10-21";"2020";"43";"18";"8";"10";"0";"Switzerland";"Gender"
"122";"2020-04-06";"2020";"15";"50";"28";"22";"0";"Switzerland";"Gender"
"123";"2020-11-25";"2020";"48";"88";"48";"40";"0";"Switzerland";"Gender"
"124";"2021-02-04";"2021";"05";"21";"9";"12";"0";"Switzerland";"Gender"
