"";"AgeGrp_min";"AgeGrp_max";"NUTS";"date";"Year";"WeekNo";"male_covid_death";"female_covid_death";"NC_covid_death";"total_covid_death";"country";"type"
"53";"25";"44";"Belgium";"2020-03-17";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"54";"45";"64";"Belgium";"2020-03-17";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"55";"0";"24";"Belgium";"2020-03-17";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"56";NA;NA;"Belgium";"2020-03-17";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"57";"80";NA;"Belgium";"2020-03-18";"2020";"12";4;6;1;11;"Belgium";"AgeGender"
"58";"65";"74";"Belgium";"2020-03-18";"2020";"12";1;1;0;2;"Belgium";"AgeGender"
"59";"75";"84";"Belgium";"2020-03-18";"2020";"12";5;3;0;8;"Belgium";"AgeGender"
"60";"25";"44";"Belgium";"2020-03-18";"2020";"12";0;1;0;1;"Belgium";"AgeGender"
"61";"45";"64";"Belgium";"2020-03-18";"2020";"12";1;0;0;1;"Belgium";"AgeGender"
"62";"0";"24";"Belgium";"2020-03-18";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"63";NA;NA;"Belgium";"2020-03-18";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"64";"80";NA;"Belgium";"2020-03-19";"2020";"12";6;10;2;18;"Belgium";"AgeGender"
"65";"65";"74";"Belgium";"2020-03-19";"2020";"12";6;3;0;9;"Belgium";"AgeGender"
"66";"75";"84";"Belgium";"2020-03-19";"2020";"12";4;3;0;7;"Belgium";"AgeGender"
"67";"25";"44";"Belgium";"2020-03-19";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"68";"45";"64";"Belgium";"2020-03-19";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"69";"0";"24";"Belgium";"2020-03-19";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"70";NA;NA;"Belgium";"2020-03-19";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"71";"80";NA;"Belgium";"2020-03-20";"2020";"12";6;16;0;22;"Belgium";"AgeGender"
"72";"65";"74";"Belgium";"2020-03-20";"2020";"12";3;1;0;4;"Belgium";"AgeGender"
"73";"75";"84";"Belgium";"2020-03-20";"2020";"12";2;3;0;5;"Belgium";"AgeGender"
"74";"25";"44";"Belgium";"2020-03-20";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"75";"45";"64";"Belgium";"2020-03-20";"2020";"12";3;3;0;6;"Belgium";"AgeGender"
"76";"0";"24";"Belgium";"2020-03-20";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"77";NA;NA;"Belgium";"2020-03-20";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"78";"80";NA;"Belgium";"2020-03-21";"2020";"12";7;10;1;18;"Belgium";"AgeGender"
"79";"65";"74";"Belgium";"2020-03-21";"2020";"12";2;2;0;4;"Belgium";"AgeGender"
"80";"75";"84";"Belgium";"2020-03-21";"2020";"12";8;6;0;14;"Belgium";"AgeGender"
"81";"25";"44";"Belgium";"2020-03-21";"2020";"12";0;1;0;1;"Belgium";"AgeGender"
"82";"45";"64";"Belgium";"2020-03-21";"2020";"12";3;0;0;3;"Belgium";"AgeGender"
"83";"0";"24";"Belgium";"2020-03-21";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"84";NA;NA;"Belgium";"2020-03-21";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"85";"80";NA;"Belgium";"2020-03-22";"2020";"12";10;13;1;24;"Belgium";"AgeGender"
"86";"65";"74";"Belgium";"2020-03-22";"2020";"12";4;2;0;6;"Belgium";"AgeGender"
"87";"75";"84";"Belgium";"2020-03-22";"2020";"12";6;5;0;11;"Belgium";"AgeGender"
"88";"25";"44";"Belgium";"2020-03-22";"2020";"12";1;0;0;1;"Belgium";"AgeGender"
"89";"45";"64";"Belgium";"2020-03-22";"2020";"12";5;0;0;5;"Belgium";"AgeGender"
"90";"0";"24";"Belgium";"2020-03-22";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"91";NA;NA;"Belgium";"2020-03-22";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"92";"80";NA;"Belgium";"2020-03-23";"2020";"13";16;18;0;34;"Belgium";"AgeGender"
"93";"65";"74";"Belgium";"2020-03-23";"2020";"13";7;2;0;9;"Belgium";"AgeGender"
"94";"75";"84";"Belgium";"2020-03-23";"2020";"13";15;10;0;25;"Belgium";"AgeGender"
"95";"25";"44";"Belgium";"2020-03-23";"2020";"13";0;0;0;0;"Belgium";"AgeGender"
"96";"45";"64";"Belgium";"2020-03-23";"2020";"13";7;3;0;10;"Belgium";"AgeGender"
"97";"0";"24";"Belgium";"2020-03-23";"2020";"13";0;0;0;0;"Belgium";"AgeGender"
"98";NA;NA;"Belgium";"2020-03-23";"2020";"13";0;0;0;0;"Belgium";"AgeGender"
"99";"80";NA;"Belgium";"2020-03-24";"2020";"13";21;17;0;38;"Belgium";"AgeGender"
"100";"65";"74";"Belgium";"2020-03-24";"2020";"13";12;3;0;15;"Belgium";"AgeGender"
"101";"75";"84";"Belgium";"2020-03-24";"2020";"13";16;5;0;21;"Belgium";"AgeGender"
"102";"25";"44";"Belgium";"2020-03-24";"2020";"13";0;0;0;0;"Belgium";"AgeGender"
"103";"45";"64";"Belgium";"2020-03-24";"2020";"13";3;1;0;4;"Belgium";"AgeGender"
"104";"0";"24";"Belgium";"2020-03-24";"2020";"13";0;0;0;0;"Belgium";"AgeGender"
"105";NA;NA;"Belgium";"2020-03-24";"2020";"13";0;0;0;0;"Belgium";"AgeGender"
"106";"80";NA;"Belgium";"2020-03-25";"2020";"13";26;21;0;47;"Belgium";"AgeGender"
"107";"65";"74";"Belgium";"2020-03-25";"2020";"13";15;3;0;18;"Belgium";"AgeGender"
"108";"75";"84";"Belgium";"2020-03-25";"2020";"13";16;17;0;33;"Belgium";"AgeGender"
"109";"25";"44";"Belgium";"2020-03-25";"2020";"13";0;1;0;1;"Belgium";"AgeGender"
"110";"45";"64";"Belgium";"2020-03-25";"2020";"13";5;3;0;8;"Belgium";"AgeGender"
"111";"0";"24";"Belgium";"2020-03-25";"2020";"13";0;0;0;0;"Belgium";"AgeGender"
"112";NA;NA;"Belgium";"2020-03-25";"2020";"13";0;0;0;0;"Belgium";"AgeGender"
"113";"80";NA;"Belgium";"2020-03-26";"2020";"13";26;23;0;49;"Belgium";"AgeGender"
"114";"65";"74";"Belgium";"2020-03-26";"2020";"13";9;4;0;13;"Belgium";"AgeGender"
"115";"75";"84";"Belgium";"2020-03-26";"2020";"13";21;13;0;34;"Belgium";"AgeGender"
"116";"25";"44";"Belgium";"2020-03-26";"2020";"13";0;1;0;1;"Belgium";"AgeGender"
"117";"45";"64";"Belgium";"2020-03-26";"2020";"13";5;1;0;6;"Belgium";"AgeGender"
"118";"0";"24";"Belgium";"2020-03-26";"2020";"13";0;0;0;0;"Belgium";"AgeGender"
"119";NA;NA;"Belgium";"2020-03-26";"2020";"13";0;0;0;0;"Belgium";"AgeGender"
"120";"80";NA;"Belgium";"2020-03-27";"2020";"13";24;40;0;64;"Belgium";"AgeGender"
"121";"65";"74";"Belgium";"2020-03-27";"2020";"13";13;4;0;17;"Belgium";"AgeGender"
"122";"75";"84";"Belgium";"2020-03-27";"2020";"13";20;18;0;38;"Belgium";"AgeGender"
"123";"25";"44";"Belgium";"2020-03-27";"2020";"13";0;0;0;0;"Belgium";"AgeGender"
"124";"45";"64";"Belgium";"2020-03-27";"2020";"13";7;2;0;9;"Belgium";"AgeGender"
"125";"0";"24";"Belgium";"2020-03-27";"2020";"13";0;0;0;0;"Belgium";"AgeGender"
"126";NA;NA;"Belgium";"2020-03-27";"2020";"13";0;0;0;0;"Belgium";"AgeGender"
"127";"80";NA;"Belgium";"2020-03-28";"2020";"13";29;36;0;65;"Belgium";"AgeGender"
"128";"65";"74";"Belgium";"2020-03-28";"2020";"13";14;4;0;18;"Belgium";"AgeGender"
"129";"75";"84";"Belgium";"2020-03-28";"2020";"13";22;31;0;53;"Belgium";"AgeGender"
"130";"25";"44";"Belgium";"2020-03-28";"2020";"13";0;0;0;0;"Belgium";"AgeGender"
"131";"45";"64";"Belgium";"2020-03-28";"2020";"13";6;0;0;6;"Belgium";"AgeGender"
"132";"0";"24";"Belgium";"2020-03-28";"2020";"13";0;0;0;0;"Belgium";"AgeGender"
"133";NA;NA;"Belgium";"2020-03-28";"2020";"13";0;0;0;0;"Belgium";"AgeGender"
"134";"80";NA;"Belgium";"2020-03-29";"2020";"13";24;42;0;66;"Belgium";"AgeGender"
"135";"65";"74";"Belgium";"2020-03-29";"2020";"13";13;12;0;25;"Belgium";"AgeGender"
"136";"75";"84";"Belgium";"2020-03-29";"2020";"13";38;17;0;55;"Belgium";"AgeGender"
"137";"25";"44";"Belgium";"2020-03-29";"2020";"13";0;1;0;1;"Belgium";"AgeGender"
"138";"45";"64";"Belgium";"2020-03-29";"2020";"13";1;1;0;2;"Belgium";"AgeGender"
"139";"0";"24";"Belgium";"2020-03-29";"2020";"13";0;0;0;0;"Belgium";"AgeGender"
"140";NA;NA;"Belgium";"2020-03-29";"2020";"13";0;0;0;0;"Belgium";"AgeGender"
"141";"80";NA;"Belgium";"2020-03-30";"2020";"14";41;51;0;92;"Belgium";"AgeGender"
"142";"65";"74";"Belgium";"2020-03-30";"2020";"14";6;4;0;10;"Belgium";"AgeGender"
"143";"75";"84";"Belgium";"2020-03-30";"2020";"14";30;25;0;55;"Belgium";"AgeGender"
"144";"25";"44";"Belgium";"2020-03-30";"2020";"14";0;0;0;0;"Belgium";"AgeGender"
"145";"45";"64";"Belgium";"2020-03-30";"2020";"14";6;6;0;12;"Belgium";"AgeGender"
"146";"0";"24";"Belgium";"2020-03-30";"2020";"14";0;1;0;1;"Belgium";"AgeGender"
"147";NA;NA;"Belgium";"2020-03-30";"2020";"14";0;0;0;0;"Belgium";"AgeGender"
"148";"80";NA;"Belgium";"2020-03-31";"2020";"14";35;66;0;101;"Belgium";"AgeGender"
