"TIME","GEO","SEX","UNIT","Value","Flag and Footnotes"
"2000W15","Spain","Total","Number","7 011",""
"2000W15","Italy","Total","Number",":",""
"2000W15","Sweden","Total","Number","1 846",""
"2000W15","Switzerland","Total","Number","1 142",""
"2000W15","United Kingdom","Total","Number",":",""
"2000W16","Belgium","Total","Number","1 952",""
"2000W16","Denmark","Total","Number",":",""
"2000W16","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2000W16","Spain","Total","Number","6 793",""
"2000W16","Italy","Total","Number",":",""
"2000W16","Sweden","Total","Number","1 703",""
"2000W16","Switzerland","Total","Number","1 105",""
"2000W16","United Kingdom","Total","Number",":",""
"2000W17","Belgium","Total","Number","1 966",""
"2000W17","Denmark","Total","Number",":",""
"2000W17","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2000W17","Spain","Total","Number","6 553",""
"2000W17","Italy","Total","Number",":",""
"2000W17","Sweden","Total","Number","1 682",""
"2000W17","Switzerland","Total","Number","1 174",""
"2000W17","United Kingdom","Total","Number",":",""
"2000W18","Belgium","Total","Number","1 907",""
"2000W18","Denmark","Total","Number",":",""
"2000W18","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2000W18","Spain","Total","Number","6 627",""
"2000W18","Italy","Total","Number",":",""
"2000W18","Sweden","Total","Number","1 713",""
"2000W18","Switzerland","Total","Number","1 141",""
"2000W18","United Kingdom","Total","Number",":",""
"2000W19","Belgium","Total","Number","1 953",""
"2000W19","Denmark","Total","Number",":",""
"2000W19","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2000W19","Spain","Total","Number","6 305",""
"2000W19","Italy","Total","Number",":",""
"2000W19","Sweden","Total","Number","1 596",""
"2000W19","Switzerland","Total","Number","1 134",""
"2000W19","United Kingdom","Total","Number",":",""
"2000W20","Belgium","Total","Number","1 834",""
"2000W20","Denmark","Total","Number",":",""
"2000W20","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2000W20","Spain","Total","Number","6 392",""
"2000W20","Italy","Total","Number",":",""
"2000W20","Sweden","Total","Number","1 718",""
"2000W20","Switzerland","Total","Number","1 074",""
"2000W20","United Kingdom","Total","Number",":",""
"2000W21","Belgium","Total","Number","1 789",""
"2000W21","Denmark","Total","Number",":",""
"2000W21","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2000W21","Spain","Total","Number","6 052",""
"2000W21","Italy","Total","Number",":",""
"2000W21","Sweden","Total","Number","1 642",""
"2000W21","Switzerland","Total","Number","1 022",""
"2000W21","United Kingdom","Total","Number",":",""
"2000W22","Belgium","Total","Number","1 864",""
"2000W22","Denmark","Total","Number",":",""
"2000W22","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2000W22","Spain","Total","Number","6 630",""
"2000W22","Italy","Total","Number",":",""
"2000W22","Sweden","Total","Number","1 585",""
"2000W22","Switzerland","Total","Number","1 067",""
"2000W22","United Kingdom","Total","Number",":",""
"2000W23","Belgium","Total","Number","1 937",""
"2000W23","Denmark","Total","Number",":",""
"2000W23","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2000W23","Spain","Total","Number","6 147",""
"2000W23","Italy","Total","Number",":",""
"2000W23","Sweden","Total","Number","1 596",""
"2000W23","Switzerland","Total","Number","1 147",""
"2000W23","United Kingdom","Total","Number",":",""
"2000W24","Belgium","Total","Number","1 799",""
"2000W24","Denmark","Total","Number",":",""
"2000W24","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2000W24","Spain","Total","Number","6 538",""
"2000W24","Italy","Total","Number",":",""
"2000W24","Sweden","Total","Number","1 609",""
"2000W24","Switzerland","Total","Number","1 114",""
