"TIME","GEO","SEX","UNIT","Value","Flag and Footnotes"
"2004W18","Spain","Total","Number","6 832",""
"2004W18","Italy","Total","Number",":",""
"2004W18","Sweden","Total","Number","1 622",""
"2004W18","Switzerland","Total","Number","1 136",""
"2004W18","United Kingdom","Total","Number",":",""
"2004W19","Belgium","Total","Number","1 816",""
"2004W19","Denmark","Total","Number",":",""
"2004W19","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2004W19","Spain","Total","Number","6 827",""
"2004W19","Italy","Total","Number",":",""
"2004W19","Sweden","Total","Number","1 654",""
"2004W19","Switzerland","Total","Number","1 063",""
"2004W19","United Kingdom","Total","Number",":",""
"2004W20","Belgium","Total","Number","1 857",""
"2004W20","Denmark","Total","Number",":",""
"2004W20","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2004W20","Spain","Total","Number","6 745",""
"2004W20","Italy","Total","Number",":",""
"2004W20","Sweden","Total","Number","1 662",""
"2004W20","Switzerland","Total","Number","1 056",""
"2004W20","United Kingdom","Total","Number",":",""
"2004W21","Belgium","Total","Number","1 825",""
"2004W21","Denmark","Total","Number",":",""
"2004W21","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2004W21","Spain","Total","Number","6 927",""
"2004W21","Italy","Total","Number",":",""
"2004W21","Sweden","Total","Number","1 668",""
"2004W21","Switzerland","Total","Number","1 072",""
"2004W21","United Kingdom","Total","Number",":",""
"2004W22","Belgium","Total","Number","1 809",""
"2004W22","Denmark","Total","Number",":",""
"2004W22","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2004W22","Spain","Total","Number","6 624",""
"2004W22","Italy","Total","Number",":",""
"2004W22","Sweden","Total","Number","1 652",""
"2004W22","Switzerland","Total","Number","1 112",""
"2004W22","United Kingdom","Total","Number",":",""
"2004W23","Belgium","Total","Number","1 885",""
"2004W23","Denmark","Total","Number",":",""
"2004W23","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2004W23","Spain","Total","Number","6 512",""
"2004W23","Italy","Total","Number",":",""
"2004W23","Sweden","Total","Number","1 601",""
"2004W23","Switzerland","Total","Number","1 059",""
"2004W23","United Kingdom","Total","Number",":",""
"2004W24","Belgium","Total","Number","1 905",""
"2004W24","Denmark","Total","Number",":",""
"2004W24","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2004W24","Spain","Total","Number","6 590",""
"2004W24","Italy","Total","Number",":",""
"2004W24","Sweden","Total","Number","1 627",""
"2004W24","Switzerland","Total","Number","1 120",""
"2004W24","United Kingdom","Total","Number",":",""
"2004W25","Belgium","Total","Number","1 799",""
"2004W25","Denmark","Total","Number",":",""
"2004W25","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2004W25","Spain","Total","Number","6 421",""
"2004W25","Italy","Total","Number",":",""
"2004W25","Sweden","Total","Number","1 616",""
"2004W25","Switzerland","Total","Number","1 086",""
"2004W25","United Kingdom","Total","Number",":",""
"2004W26","Belgium","Total","Number","1 799",""
"2004W26","Denmark","Total","Number",":",""
"2004W26","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2004W26","Spain","Total","Number","6 395",""
"2004W26","Italy","Total","Number",":",""
"2004W26","Sweden","Total","Number","1 580",""
"2004W26","Switzerland","Total","Number","1 028",""
"2004W26","United Kingdom","Total","Number",":",""
"2004W27","Belgium","Total","Number","1 853",""
"2004W27","Denmark","Total","Number",":",""
"2004W27","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2004W27","Spain","Total","Number","6 868",""
"2004W27","Italy","Total","Number",":",""
"2004W27","Sweden","Total","Number","1 593",""
"2004W27","Switzerland","Total","Number","1 004",""
"2004W27","United Kingdom","Total","Number",":",""
"2004W28","Belgium","Total","Number","1 753",""
"2004W28","Denmark","Total","Number",":",""
"2004W28","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2004W28","Spain","Total","Number","6 223",""
"2004W28","Italy","Total","Number",":",""
"2004W28","Sweden","Total","Number","1 654",""
"2004W28","Switzerland","Total","Number","1 049",""
"2004W28","United Kingdom","Total","Number",":",""
"2004W29","Belgium","Total","Number","1 845",""
"2004W29","Denmark","Total","Number",":",""
"2004W29","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2004W29","Spain","Total","Number","6 274",""
"2004W29","Italy","Total","Number",":",""
"2004W29","Sweden","Total","Number","1 571",""
"2004W29","Switzerland","Total","Number","1 027",""
"2004W29","United Kingdom","Total","Number",":",""
"2004W30","Belgium","Total","Number","1 823",""
"2004W30","Denmark","Total","Number",":",""
"2004W30","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2004W30","Spain","Total","Number","6 738",""
"2004W30","Italy","Total","Number",":",""
"2004W30","Sweden","Total","Number","1 637",""
"2004W30","Switzerland","Total","Number","1 044",""
"2004W30","United Kingdom","Total","Number",":",""
"2004W31","Belgium","Total","Number","1 889",""
"2004W31","Denmark","Total","Number",":",""
"2004W31","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2004W31","Spain","Total","Number","7 034",""
"2004W31","Italy","Total","Number",":",""
"2004W31","Sweden","Total","Number","1 578",""
"2004W31","Switzerland","Total","Number","1 083",""
"2004W31","United Kingdom","Total","Number",":",""
"2004W32","Belgium","Total","Number","1 932",""
"2004W32","Denmark","Total","Number",":",""
"2004W32","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2004W32","Spain","Total","Number","6 693",""
"2004W32","Italy","Total","Number",":",""
"2004W32","Sweden","Total","Number","1 624",""
"2004W32","Switzerland","Total","Number","1 058",""
"2004W32","United Kingdom","Total","Number",":",""
"2004W33","Belgium","Total","Number","1 803",""
"2004W33","Denmark","Total","Number",":",""
"2004W33","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2004W33","Spain","Total","Number","6 507",""
"2004W33","Italy","Total","Number",":",""
"2004W33","Sweden","Total","Number","1 653",""
"2004W33","Switzerland","Total","Number","1 009",""
"2004W33","United Kingdom","Total","Number",":",""
"2004W34","Belgium","Total","Number","1 697",""
"2004W34","Denmark","Total","Number",":",""
"2004W34","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2004W34","Spain","Total","Number","6 296",""
"2004W34","Italy","Total","Number",":",""
"2004W34","Sweden","Total","Number","1 548",""
"2004W34","Switzerland","Total","Number","1 023",""
"2004W34","United Kingdom","Total","Number",":",""
"2004W35","Belgium","Total","Number","1 703",""
"2004W35","Denmark","Total","Number",":",""
"2004W35","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2004W35","Spain","Total","Number","6 381",""
"2004W35","Italy","Total","Number",":",""
"2004W35","Sweden","Total","Number","1 615",""
"2004W35","Switzerland","Total","Number","1 034",""
"2004W35","United Kingdom","Total","Number",":",""
"2004W36","Belgium","Total","Number","1 803",""
"2004W36","Denmark","Total","Number",":",""
"2004W36","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2004W36","Spain","Total","Number","6 277",""
"2004W36","Italy","Total","Number",":",""
"2004W36","Sweden","Total","Number","1 624",""
"2004W36","Switzerland","Total","Number","1 089",""
"2004W36","United Kingdom","Total","Number",":",""
"2004W37","Belgium","Total","Number","1 791",""
"2004W37","Denmark","Total","Number",":",""
"2004W37","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2004W37","Spain","Total","Number","6 235",""
"2004W37","Italy","Total","Number",":",""
"2004W37","Sweden","Total","Number","1 592",""
"2004W37","Switzerland","Total","Number","1 112",""
"2004W37","United Kingdom","Total","Number",":",""
"2004W38","Belgium","Total","Number","1 731",""
"2004W38","Denmark","Total","Number",":",""
"2004W38","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2004W38","Spain","Total","Number","6 158",""
"2004W38","Italy","Total","Number",":",""
"2004W38","Sweden","Total","Number","1 590",""
"2004W38","Switzerland","Total","Number","1 079",""
"2004W38","United Kingdom","Total","Number",":",""
"2004W39","Belgium","Total","Number","1 825",""
"2004W39","Denmark","Total","Number",":",""
"2004W39","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2004W39","Spain","Total","Number","6 200",""
"2004W39","Italy","Total","Number",":",""
"2004W39","Sweden","Total","Number","1 674",""
"2004W39","Switzerland","Total","Number","1 058",""
"2004W39","United Kingdom","Total","Number",":",""
"2004W40","Belgium","Total","Number","1 837",""
"2004W40","Denmark","Total","Number",":",""
"2004W40","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2004W40","Spain","Total","Number","6 296",""
"2004W40","Italy","Total","Number",":",""
"2004W40","Sweden","Total","Number","1 648",""
"2004W40","Switzerland","Total","Number","1 099",""
"2004W40","United Kingdom","Total","Number",":",""
"2004W41","Belgium","Total","Number","1 844",""
"2004W41","Denmark","Total","Number",":",""
"2004W41","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2004W41","Spain","Total","Number","6 609",""
"2004W41","Italy","Total","Number",":",""
"2004W41","Sweden","Total","Number","1 590",""
"2004W41","Switzerland","Total","Number","1 063",""
"2004W41","United Kingdom","Total","Number",":",""
"2004W42","Belgium","Total","Number","1 938",""
"2004W42","Denmark","Total","Number",":",""
"2004W42","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2004W42","Spain","Total","Number","6 621",""
"2004W42","Italy","Total","Number",":",""
"2004W42","Sweden","Total","Number","1 713",""
"2004W42","Switzerland","Total","Number","1 094",""
"2004W42","United Kingdom","Total","Number",":",""
"2004W43","Belgium","Total","Number","1 993",""
"2004W43","Denmark","Total","Number",":",""
"2004W43","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2004W43","Spain","Total","Number","7 021",""
"2004W43","Italy","Total","Number",":",""
"2004W43","Sweden","Total","Number","1 666",""
"2004W43","Switzerland","Total","Number","1 181",""
"2004W43","United Kingdom","Total","Number",":",""
"2004W44","Belgium","Total","Number","1 853",""
"2004W44","Denmark","Total","Number",":",""
"2004W44","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2004W44","Spain","Total","Number","6 633",""
"2004W44","Italy","Total","Number",":",""
"2004W44","Sweden","Total","Number","1 755",""
"2004W44","Switzerland","Total","Number","1 141",""
"2004W44","United Kingdom","Total","Number",":",""
"2004W45","Belgium","Total","Number","1 841",""
"2004W45","Denmark","Total","Number",":",""
"2004W45","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2004W45","Spain","Total","Number","7 067",""
"2004W45","Italy","Total","Number",":",""
"2004W45","Sweden","Total","Number","1 679",""
"2004W45","Switzerland","Total","Number","1 140",""
"2004W45","United Kingdom","Total","Number",":",""
"2004W46","Belgium","Total","Number","1 932",""
"2004W46","Denmark","Total","Number",":",""
"2004W46","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2004W46","Spain","Total","Number","6 892",""
"2004W46","Italy","Total","Number",":",""
"2004W46","Sweden","Total","Number","1 700",""
"2004W46","Switzerland","Total","Number","1 165",""
"2004W46","United Kingdom","Total","Number",":",""
"2004W47","Belgium","Total","Number","1 914",""
"2004W47","Denmark","Total","Number",":",""
"2004W47","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2004W47","Spain","Total","Number","7 338",""
"2004W47","Italy","Total","Number",":",""
"2004W47","Sweden","Total","Number","1 714",""
"2004W47","Switzerland","Total","Number","1 137",""
"2004W47","United Kingdom","Total","Number",":",""
"2004W48","Belgium","Total","Number","1 948",""
"2004W48","Denmark","Total","Number",":",""
"2004W48","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2004W48","Spain","Total","Number","7 389",""
"2004W48","Italy","Total","Number",":",""
"2004W48","Sweden","Total","Number","1 776",""
"2004W48","Switzerland","Total","Number","1 191",""
"2004W48","United Kingdom","Total","Number",":",""
"2004W49","Belgium","Total","Number","2 023",""
"2004W49","Denmark","Total","Number",":",""
"2004W49","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2004W49","Spain","Total","Number","7 513",""
"2004W49","Italy","Total","Number",":",""
"2004W49","Sweden","Total","Number","1 811",""
"2004W49","Switzerland","Total","Number","1 198",""
"2004W49","United Kingdom","Total","Number",":",""
"2004W50","Belgium","Total","Number","1 950",""
"2004W50","Denmark","Total","Number",":",""
"2004W50","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2004W50","Spain","Total","Number","7 537",""
"2004W50","Italy","Total","Number",":",""
"2004W50","Sweden","Total","Number","1 740",""
"2004W50","Switzerland","Total","Number","1 138",""
"2004W50","United Kingdom","Total","Number",":",""
"2004W51","Belgium","Total","Number","2 117",""
"2004W51","Denmark","Total","Number",":",""
"2004W51","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2004W51","Spain","Total","Number","7 837",""
"2004W51","Italy","Total","Number",":",""
"2004W51","Sweden","Total","Number","1 870",""
"2004W51","Switzerland","Total","Number","1 227",""
"2004W51","United Kingdom","Total","Number",":",""
"2004W52","Belgium","Total","Number","2 240",""
"2004W52","Denmark","Total","Number",":",""
"2004W52","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2004W52","Spain","Total","Number","8 296",""
"2004W52","Italy","Total","Number",":",""
"2004W52","Sweden","Total","Number","1 954",""
"2004W52","Switzerland","Total","Number","1 311",""
"2004W52","United Kingdom","Total","Number",":",""
"2004W53","Belgium","Total","Number","2 336",""
"2004W53","Denmark","Total","Number",":",""
"2004W53","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2004W53","Spain","Total","Number","9 596",""
"2004W53","Italy","Total","Number",":",""
"2004W53","Sweden","Total","Number","1 950",""
"2004W53","Switzerland","Total","Number","1 241",""
"2004W53","United Kingdom","Total","Number",":",""
"2004W99","Belgium","Total","Number",":",""
"2004W99","Denmark","Total","Number",":",""
"2004W99","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2004W99","Spain","Total","Number",":",""
"2004W99","Italy","Total","Number",":",""
"2004W99","Sweden","Total","Number","1 137",""
"2004W99","Switzerland","Total","Number",":",""
"2004W99","United Kingdom","Total","Number",":",""
"2005W01","Belgium","Total","Number","2 339",""
"2005W01","Denmark","Total","Number",":",""
"2005W01","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2005W01","Spain","Total","Number","10 846",""
"2005W01","Italy","Total","Number",":",""
"2005W01","Sweden","Total","Number","1 914",""
"2005W01","Switzerland","Total","Number","1 232",""
"2005W01","United Kingdom","Total","Number",":",""
"2005W02","Belgium","Total","Number","2 292",""
"2005W02","Denmark","Total","Number",":",""
"2005W02","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2005W02","Spain","Total","Number","11 299",""
"2005W02","Italy","Total","Number",":",""
"2005W02","Sweden","Total","Number","1 855",""
"2005W02","Switzerland","Total","Number","1 300",""
"2005W02","United Kingdom","Total","Number",":",""
"2005W03","Belgium","Total","Number","2 277",""
"2005W03","Denmark","Total","Number",":",""
"2005W03","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2005W03","Spain","Total","Number","11 057",""
"2005W03","Italy","Total","Number",":",""
"2005W03","Sweden","Total","Number","1 786",""
"2005W03","Switzerland","Total","Number","1 313",""
"2005W03","United Kingdom","Total","Number",":",""
"2005W04","Belgium","Total","Number","2 181",""
"2005W04","Denmark","Total","Number",":",""
"2005W04","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2005W04","Spain","Total","Number","10 154",""
"2005W04","Italy","Total","Number",":",""
"2005W04","Sweden","Total","Number","1 797",""
"2005W04","Switzerland","Total","Number","1 338",""
"2005W04","United Kingdom","Total","Number",":",""
"2005W05","Belgium","Total","Number","2 292",""
"2005W05","Denmark","Total","Number",":",""
"2005W05","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2005W05","Spain","Total","Number","10 247",""
"2005W05","Italy","Total","Number",":",""
"2005W05","Sweden","Total","Number","1 896",""
"2005W05","Switzerland","Total","Number","1 424",""
"2005W05","United Kingdom","Total","Number",":",""
"2005W06","Belgium","Total","Number","2 337",""
"2005W06","Denmark","Total","Number",":",""
"2005W06","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2005W06","Spain","Total","Number","9 599",""
"2005W06","Italy","Total","Number",":",""
"2005W06","Sweden","Total","Number","1 920",""
"2005W06","Switzerland","Total","Number","1 438",""
"2005W06","United Kingdom","Total","Number",":",""
"2005W07","Belgium","Total","Number","2 369",""
"2005W07","Denmark","Total","Number",":",""
"2005W07","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2005W07","Spain","Total","Number","8 866",""
"2005W07","Italy","Total","Number",":",""
"2005W07","Sweden","Total","Number","1 963",""
"2005W07","Switzerland","Total","Number","1 509",""
"2005W07","United Kingdom","Total","Number",":",""
"2005W08","Belgium","Total","Number","2 357",""
"2005W08","Denmark","Total","Number",":",""
"2005W08","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2005W08","Spain","Total","Number","8 823",""
"2005W08","Italy","Total","Number",":",""
"2005W08","Sweden","Total","Number","1 959",""
"2005W08","Switzerland","Total","Number","1 582",""
"2005W08","United Kingdom","Total","Number",":",""
"2005W09","Belgium","Total","Number","2 464",""
"2005W09","Denmark","Total","Number",":",""
"2005W09","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2005W09","Spain","Total","Number","8 567",""
"2005W09","Italy","Total","Number",":",""
"2005W09","Sweden","Total","Number","2 191",""
"2005W09","Switzerland","Total","Number","1 455",""
"2005W09","United Kingdom","Total","Number",":",""
"2005W10","Belgium","Total","Number","2 457",""
"2005W10","Denmark","Total","Number",":",""
"2005W10","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2005W10","Spain","Total","Number","9 000",""
"2005W10","Italy","Total","Number",":",""
"2005W10","Sweden","Total","Number","2 140",""
"2005W10","Switzerland","Total","Number","1 415",""
"2005W10","United Kingdom","Total","Number",":",""
"2005W11","Belgium","Total","Number","2 435",""
"2005W11","Denmark","Total","Number",":",""
"2005W11","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2005W11","Spain","Total","Number","8 595",""
"2005W11","Italy","Total","Number",":",""
"2005W11","Sweden","Total","Number","2 146",""
"2005W11","Switzerland","Total","Number","1 309",""
"2005W11","United Kingdom","Total","Number",":",""
"2005W12","Belgium","Total","Number","2 263",""
"2005W12","Denmark","Total","Number",":",""
"2005W12","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2005W12","Spain","Total","Number","7 894",""
"2005W12","Italy","Total","Number",":",""
"2005W12","Sweden","Total","Number","1 963",""
"2005W12","Switzerland","Total","Number","1 227",""
"2005W12","United Kingdom","Total","Number",":",""
"2005W13","Belgium","Total","Number","2 071",""
"2005W13","Denmark","Total","Number",":",""
"2005W13","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2005W13","Spain","Total","Number","7 536",""
"2005W13","Italy","Total","Number",":",""
"2005W13","Sweden","Total","Number","2 011",""
"2005W13","Switzerland","Total","Number","1 133",""
"2005W13","United Kingdom","Total","Number",":",""
"2005W14","Belgium","Total","Number","1 997",""
"2005W14","Denmark","Total","Number",":",""
"2005W14","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2005W14","Spain","Total","Number","7 113",""
"2005W14","Italy","Total","Number",":",""
"2005W14","Sweden","Total","Number","1 959",""
"2005W14","Switzerland","Total","Number","1 108",""
"2005W14","United Kingdom","Total","Number",":",""
"2005W15","Belgium","Total","Number","1 965",""
"2005W15","Denmark","Total","Number",":",""
"2005W15","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2005W15","Spain","Total","Number","7 004",""
"2005W15","Italy","Total","Number",":",""
"2005W15","Sweden","Total","Number","1 820",""
"2005W15","Switzerland","Total","Number","1 184",""
"2005W15","United Kingdom","Total","Number",":",""
"2005W16","Belgium","Total","Number","1 889",""
"2005W16","Denmark","Total","Number",":",""
"2005W16","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2005W16","Spain","Total","Number","7 022",""
"2005W16","Italy","Total","Number",":",""
"2005W16","Sweden","Total","Number","1 759",""
"2005W16","Switzerland","Total","Number","1 122",""
"2005W16","United Kingdom","Total","Number",":",""
"2005W17","Belgium","Total","Number","1 976",""
"2005W17","Denmark","Total","Number",":",""
"2005W17","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2005W17","Spain","Total","Number","6 957",""
"2005W17","Italy","Total","Number",":",""
"2005W17","Sweden","Total","Number","1 759",""
"2005W17","Switzerland","Total","Number","1 154",""
"2005W17","United Kingdom","Total","Number",":",""
"2005W18","Belgium","Total","Number","1 829",""
"2005W18","Denmark","Total","Number",":",""
"2005W18","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2005W18","Spain","Total","Number","6 816",""
"2005W18","Italy","Total","Number",":",""
"2005W18","Sweden","Total","Number","1 711",""
"2005W18","Switzerland","Total","Number","1 074",""
"2005W18","United Kingdom","Total","Number",":",""
"2005W19","Belgium","Total","Number","1 835",""
"2005W19","Denmark","Total","Number",":",""
"2005W19","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2005W19","Spain","Total","Number","6 525",""
"2005W19","Italy","Total","Number",":",""
"2005W19","Sweden","Total","Number","1 671",""
"2005W19","Switzerland","Total","Number","1 086",""
"2005W19","United Kingdom","Total","Number",":",""
"2005W20","Belgium","Total","Number","1 949",""
"2005W20","Denmark","Total","Number",":",""
"2005W20","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2005W20","Spain","Total","Number","6 627",""
"2005W20","Italy","Total","Number",":",""
"2005W20","Sweden","Total","Number","1 632",""
"2005W20","Switzerland","Total","Number","1 056",""
"2005W20","United Kingdom","Total","Number",":",""
"2005W21","Belgium","Total","Number","2 033",""
"2005W21","Denmark","Total","Number",":",""
"2005W21","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2005W21","Spain","Total","Number","6 787",""
"2005W21","Italy","Total","Number",":",""
"2005W21","Sweden","Total","Number","1 648",""
"2005W21","Switzerland","Total","Number","1 119",""
"2005W21","United Kingdom","Total","Number",":",""
"2005W22","Belgium","Total","Number","1 855",""
"2005W22","Denmark","Total","Number",":",""
"2005W22","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2005W22","Spain","Total","Number","6 528",""
"2005W22","Italy","Total","Number",":",""
"2005W22","Sweden","Total","Number","1 696",""
"2005W22","Switzerland","Total","Number","1 070",""
"2005W22","United Kingdom","Total","Number",":",""
"2005W23","Belgium","Total","Number","1 746",""
"2005W23","Denmark","Total","Number",":",""
"2005W23","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2005W23","Spain","Total","Number","6 516",""
"2005W23","Italy","Total","Number",":",""
"2005W23","Sweden","Total","Number","1 658",""
"2005W23","Switzerland","Total","Number","1 042",""
"2005W23","United Kingdom","Total","Number",":",""
"2005W24","Belgium","Total","Number","1 899",""
"2005W24","Denmark","Total","Number",":",""
"2005W24","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2005W24","Spain","Total","Number","6 578",""
"2005W24","Italy","Total","Number",":",""
"2005W24","Sweden","Total","Number","1 624",""
"2005W24","Switzerland","Total","Number","1 096",""
"2005W24","United Kingdom","Total","Number",":",""
"2005W25","Belgium","Total","Number","2 057",""
"2005W25","Denmark","Total","Number",":",""
"2005W25","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2005W25","Spain","Total","Number","6 908",""
"2005W25","Italy","Total","Number",":",""
"2005W25","Sweden","Total","Number","1 678",""
"2005W25","Switzerland","Total","Number","1 143",""
"2005W25","United Kingdom","Total","Number",":",""
"2005W26","Belgium","Total","Number","1 806",""
"2005W26","Denmark","Total","Number",":",""
"2005W26","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2005W26","Spain","Total","Number","6 570",""
"2005W26","Italy","Total","Number",":",""
"2005W26","Sweden","Total","Number","1 634",""
"2005W26","Switzerland","Total","Number","1 158",""
"2005W26","United Kingdom","Total","Number",":",""
"2005W27","Belgium","Total","Number","1 650",""
"2005W27","Denmark","Total","Number",":",""
"2005W27","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2005W27","Spain","Total","Number","6 271",""
"2005W27","Italy","Total","Number",":",""
"2005W27","Sweden","Total","Number","1 647",""
"2005W27","Switzerland","Total","Number","984",""
"2005W27","United Kingdom","Total","Number",":",""
"2005W28","Belgium","Total","Number","1 779",""
"2005W28","Denmark","Total","Number",":",""
"2005W28","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2005W28","Spain","Total","Number","6 489",""
"2005W28","Italy","Total","Number",":",""
"2005W28","Sweden","Total","Number","1 680",""
"2005W28","Switzerland","Total","Number","1 041",""
"2005W28","United Kingdom","Total","Number",":",""
"2005W29","Belgium","Total","Number","1 725",""
"2005W29","Denmark","Total","Number",":",""
"2005W29","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2005W29","Spain","Total","Number","6 423",""
"2005W29","Italy","Total","Number",":",""
"2005W29","Sweden","Total","Number","1 596",""
"2005W29","Switzerland","Total","Number","971",""
"2005W29","United Kingdom","Total","Number",":",""
"2005W30","Belgium","Total","Number","1 769",""
"2005W30","Denmark","Total","Number",":",""
"2005W30","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2005W30","Spain","Total","Number","6 369",""
"2005W30","Italy","Total","Number",":",""
"2005W30","Sweden","Total","Number","1 508",""
"2005W30","Switzerland","Total","Number","1 053",""
"2005W30","United Kingdom","Total","Number",":",""
"2005W31","Belgium","Total","Number","1 619",""
"2005W31","Denmark","Total","Number",":",""
"2005W31","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2005W31","Spain","Total","Number","6 233",""
"2005W31","Italy","Total","Number",":",""
"2005W31","Sweden","Total","Number","1 624",""
"2005W31","Switzerland","Total","Number","993",""
"2005W31","United Kingdom","Total","Number",":",""
"2005W32","Belgium","Total","Number","1 658",""
"2005W32","Denmark","Total","Number",":",""
"2005W32","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2005W32","Spain","Total","Number","6 374",""
"2005W32","Italy","Total","Number",":",""
"2005W32","Sweden","Total","Number","1 580",""
"2005W32","Switzerland","Total","Number","995",""
"2005W32","United Kingdom","Total","Number",":",""
"2005W33","Belgium","Total","Number","1 751",""
"2005W33","Denmark","Total","Number",":",""
"2005W33","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2005W33","Spain","Total","Number","6 096",""
"2005W33","Italy","Total","Number",":",""
"2005W33","Sweden","Total","Number","1 561",""
"2005W33","Switzerland","Total","Number","1 073",""
"2005W33","United Kingdom","Total","Number",":",""
"2005W34","Belgium","Total","Number","1 739",""
"2005W34","Denmark","Total","Number",":",""
"2005W34","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2005W34","Spain","Total","Number","6 079",""
"2005W34","Italy","Total","Number",":",""
"2005W34","Sweden","Total","Number","1 603",""
"2005W34","Switzerland","Total","Number","1 059",""
"2005W34","United Kingdom","Total","Number",":",""
"2005W35","Belgium","Total","Number","1 819",""
"2005W35","Denmark","Total","Number",":",""
"2005W35","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2005W35","Spain","Total","Number","6 321",""
"2005W35","Italy","Total","Number",":",""
"2005W35","Sweden","Total","Number","1 618",""
"2005W35","Switzerland","Total","Number","1 097",""
"2005W35","United Kingdom","Total","Number",":",""
"2005W36","Belgium","Total","Number","1 881",""
"2005W36","Denmark","Total","Number",":",""
"2005W36","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2005W36","Spain","Total","Number","5 942",""
"2005W36","Italy","Total","Number",":",""
"2005W36","Sweden","Total","Number","1 562",""
"2005W36","Switzerland","Total","Number","1 043",""
"2005W36","United Kingdom","Total","Number",":",""
"2005W37","Belgium","Total","Number","1 652",""
"2005W37","Denmark","Total","Number",":",""
"2005W37","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2005W37","Spain","Total","Number","6 143",""
